2020-07-31 16:37:47 status installed libcrypt1:arm64 1:4.4.10-10ubuntu4
2020-07-31 16:37:47 configure libgcc-s1:arm64 10-20200411-0ubuntu1 <none>
2020-07-31 16:37:47 status unpacked libgcc-s1:arm64 10-20200411-0ubuntu1
2020-07-31 16:37:47 status half-configured libgcc-s1:arm64 10-20200411-0ubuntu1
2020-07-31 16:37:47 status installed libgcc-s1:arm64 10-20200411-0ubuntu1
2020-07-31 16:37:47 configure libc6:arm64 2.31-0ubuntu9 <none>
2020-07-31 16:37:47 status unpacked libc6:arm64 2.31-0ubuntu9
2020-07-31 16:37:47 status half-configured libc6:arm64 2.31-0ubuntu9
2020-07-31 16:37:47 status installed libc6:arm64 2.31-0ubuntu9
2020-07-31 16:37:47 configure libudev1:arm64 245.4-4ubuntu3 <none>
2020-07-31 16:37:47 status unpacked libudev1:arm64 245.4-4ubuntu3
2020-07-31 16:37:47 status half-configured libudev1:arm64 245.4-4ubuntu3
2020-07-31 16:37:48 status installed libudev1:arm64 245.4-4ubuntu3
2020-07-31 16:37:48 configure libsepol1:arm64 3.0-1 <none>
2020-07-31 16:37:48 status unpacked libsepol1:arm64 3.0-1
2020-07-31 16:37:48 status half-configured libsepol1:arm64 3.0-1
2020-07-31 16:37:48 status installed libsepol1:arm64 3.0-1
2020-07-31 16:37:48 configure libattr1:arm64 1:2.4.48-5 <none>
2020-07-31 16:37:48 status unpacked libattr1:arm64 1:2.4.48-5
2020-07-31 16:37:48 status half-configured libattr1:arm64 1:2.4.48-5
2020-07-31 16:37:48 status installed libattr1:arm64 1:2.4.48-5
2020-07-31 16:37:48 configure debianutils:arm64 4.9.1 <none>
2020-07-31 16:37:48 status unpacked debianutils:arm64 4.9.1
2020-07-31 16:37:48 status half-configured debianutils:arm64 4.9.1
2020-07-31 16:37:48 status installed debianutils:arm64 4.9.1
2020-07-31 16:37:48 configure mawk:arm64 1.3.4.20200120-2 <none>
2020-07-31 16:37:48 status unpacked mawk:arm64 1.3.4.20200120-2
2020-07-31 16:37:48 status half-configured mawk:arm64 1.3.4.20200120-2
2020-07-31 16:37:48 status installed mawk:arm64 1.3.4.20200120-2
2020-07-31 16:37:48 configure libdebconfclient0:arm64 0.251ubuntu1 <none>
2020-07-31 16:37:48 status unpacked libdebconfclient0:arm64 0.251ubuntu1
2020-07-31 16:37:48 status half-configured libdebconfclient0:arm64 0.251ubuntu1
2020-07-31 16:37:48 status installed libdebconfclient0:arm64 0.251ubuntu1
2020-07-31 16:37:48 configure base-files:arm64 11ubuntu5 <none>
2020-07-31 16:37:48 status unpacked base-files:arm64 11ubuntu5
2020-07-31 16:37:48 status half-configured base-files:arm64 11ubuntu5
2020-07-31 16:37:49 status installed base-files:arm64 11ubuntu5
2020-07-31 16:37:49 configure libbz2-1.0:arm64 1.0.8-2 <none>
2020-07-31 16:37:49 status unpacked libbz2-1.0:arm64 1.0.8-2
2020-07-31 16:37:49 status half-configured libbz2-1.0:arm64 1.0.8-2
2020-07-31 16:37:49 status installed libbz2-1.0:arm64 1.0.8-2
2020-07-31 16:37:49 configure base-passwd:arm64 3.5.47 <none>
2020-07-31 16:37:49 status unpacked base-passwd:arm64 3.5.47
2020-07-31 16:37:49 status half-configured base-passwd:arm64 3.5.47
2020-07-31 16:37:49 status installed base-passwd:arm64 3.5.47
2020-07-31 16:37:49 configure libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2 <none>
2020-07-31 16:37:49 status unpacked libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2
2020-07-31 16:37:49 status half-configured libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2
2020-07-31 16:37:49 status installed libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2
2020-07-31 16:37:49 configure libblkid1:arm64 2.34-0.1ubuntu9 <none>
